#META_DATA
#type,name,property,value
#table,,tag,gui_write_user_map
#table,,app_name,fc
#table,,version,"V1.1"
#table,,report_date,"2024-Mar-07 07:13:17"
#table,,title,"powerDensityMap"
#table,,bins,10
#table,,max_threshold,
#table,,min_threshold,0.000000
#table,,color_scale,TemperatureScale
#column,Coordinates,type,poly_rect
#column,Value,type,double
#column,Comment,type,string
#END_META_DATA

Coordinates,Value,Comment
{0.36000 0.00000} {0.72000 0.36000},2793.943421,2793.9
{0.72000 0.00000} {1.08000 0.36000},3176.968688,3177
{1.08000 0.00000} {1.44000 0.36000},4832.131987,4832.1
{1.44000 0.00000} {1.80000 0.36000},4832.131987,4832.1
{1.80000 0.00000} {2.16000 0.36000},4071.905441,4071.9
{2.16000 0.00000} {2.52000 0.36000},4015.172117,4015.2
{2.52000 0.00000} {2.88000 0.36000},4021.858657,4021.9
{2.88000 0.00000} {3.24000 0.36000},4026.914333,4026.9
{3.24000 0.00000} {3.60000 0.36000},3912.375355,3912.4
{3.60000 0.00000} {3.96000 0.36000},3395.869744,3395.9
{3.96000 0.00000} {4.32000 0.36000},2641.335885,2641.3
{4.32000 0.00000} {4.68000 0.36000},991.345748,991.35
{4.68000 0.00000} {5.04000 0.36000},542.846182,542.85
{5.04000 0.00000} {5.40000 0.36000},833.599356,833.6
{5.40000 0.00000} {5.76000 0.36000},2318.657437,2318.7
{5.76000 0.00000} {6.12000 0.36000},2194.552104,2194.6
{6.12000 0.00000} {6.48000 0.36000},3167.120328,3167.1
{6.48000 0.00000} {6.84000 0.36000},1873.842375,1873.8
{6.84000 0.00000} {7.20000 0.36000},3223.870875,3223.9
{7.20000 0.00000} {7.56000 0.36000},4866.706809,4866.7
{7.56000 0.00000} {7.92000 0.36000},4557.252474,4557.3
{7.92000 0.00000} {8.28000 0.36000},3694.037749,3694
{8.28000 0.00000} {8.64000 0.36000},3694.037749,3694
{8.64000 0.00000} {9.00000 0.36000},3807.690724,3807.7
{9.00000 0.00000} {9.36000 0.36000},3881.723654,3881.7
{9.36000 0.00000} {9.72000 0.36000},3936.630876,3936.6
{9.72000 0.00000} {10.08000 0.36000},3652.810500,3652.8
{10.08000 0.00000} {10.44000 0.36000},1854.937010,1854.9
{0.00000 0.36000} {0.36000 0.72000},3595.413457,3595.4
{0.36000 0.36000} {0.72000 0.72000},8615.044402,8615
{0.72000 0.36000} {1.08000 0.72000},9957.151661,9957.2
{1.08000 0.36000} {1.44000 0.72000},9310.549382,9310.5
{1.44000 0.36000} {1.80000 0.72000},5874.335918,5874.3
{1.80000 0.36000} {2.16000 0.72000},3467.073658,3467.1
{2.16000 0.36000} {2.52000 0.72000},5973.500271,5973.5
{2.52000 0.36000} {2.88000 0.72000},3894.657757,3894.7
{2.88000 0.36000} {3.24000 0.72000},5587.354856,5587.4
{3.24000 0.36000} {3.60000 0.72000},8219.541679,8219.5
{3.60000 0.36000} {3.96000 0.72000},2524.405297,2524.4
{3.96000 0.36000} {4.32000 0.72000},2725.329615,2725.3
{4.32000 0.36000} {4.68000 0.72000},4609.604816,4609.6
{4.68000 0.36000} {5.04000 0.72000},5706.822994,5706.8
{5.04000 0.36000} {5.40000 0.72000},2970.362020,2970.4
{5.40000 0.36000} {5.76000 0.72000},2614.830612,2614.8
{5.76000 0.36000} {6.12000 0.72000},3323.185421,3323.2
{6.12000 0.36000} {6.48000 0.72000},4638.247311,4638.2
{6.48000 0.36000} {6.84000 0.72000},5951.854297,5951.9
{6.84000 0.36000} {7.20000 0.72000},6233.790139,6233.8
{7.20000 0.36000} {7.56000 0.72000},5519.208844,5519.2
{7.56000 0.36000} {7.92000 0.72000},4498.570291,4498.6
{7.92000 0.36000} {8.28000 0.72000},4601.654623,4601.7
{8.28000 0.36000} {8.64000 0.72000},6429.579249,6429.6
{8.64000 0.36000} {9.00000 0.72000},7363.638144,7363.6
{9.00000 0.36000} {9.36000 0.72000},5950.856357,5950.9
{9.36000 0.36000} {9.72000 0.72000},7210.705752,7210.7
{9.72000 0.36000} {10.08000 0.72000},8879.037556,8879
{10.08000 0.36000} {10.44000 0.72000},3223.155502,3223.2
{0.00000 0.72000} {0.36000 1.08000},3302.279268,3302.3
{0.36000 0.72000} {0.72000 1.08000},8821.590871,8821.6
{0.72000 0.72000} {1.08000 1.08000},8943.411320,8943.4
{1.08000 0.72000} {1.44000 1.08000},9957.320957,9957.3
{1.44000 0.72000} {1.80000 1.08000},2758.663274,2758.7
{1.80000 0.72000} {2.16000 1.08000},5597.578297,5597.6
{2.16000 0.72000} {2.52000 1.08000},6137.177659,6137.2
{2.52000 0.72000} {2.88000 1.08000},4183.675511,4183.7
{2.88000 0.72000} {3.24000 1.08000},3759.259603,3759.3
{3.24000 0.72000} {3.60000 1.08000},4734.039628,4734
{3.60000 0.72000} {3.96000 1.08000},4997.130368,4997.1
{3.96000 0.72000} {4.32000 1.08000},2616.190927,2616.2
{4.32000 0.72000} {4.68000 1.08000},4466.165393,4466.2
{4.68000 0.72000} {5.04000 1.08000},4889.309522,4889.3
{5.04000 0.72000} {5.40000 1.08000},6486.558531,6486.6
{5.40000 0.72000} {5.76000 1.08000},6134.403702,6134.4
{5.76000 0.72000} {6.12000 1.08000},4155.394443,4155.4
{6.12000 0.72000} {6.48000 1.08000},4458.646379,4458.6
{6.48000 0.72000} {6.84000 1.08000},4906.426281,4906.4
{6.84000 0.72000} {7.20000 1.08000},5638.284760,5638.3
{7.20000 0.72000} {7.56000 1.08000},5716.638132,5716.6
{7.56000 0.72000} {7.92000 1.08000},6175.625367,6175.6
{7.92000 0.72000} {8.28000 1.08000},6814.133997,6814.1
{8.28000 0.72000} {8.64000 1.08000},9481.269583,9481.3
{8.64000 0.72000} {9.00000 1.08000},10270.556206,10271
{9.00000 0.72000} {9.36000 1.08000},6808.602252,6808.6
{9.36000 0.72000} {9.72000 1.08000},7153.043643,7153
{9.72000 0.72000} {10.08000 1.08000},9689.573830,9689.6
{10.08000 0.72000} {10.44000 1.08000},3952.244261,3952.2
{0.00000 1.08000} {0.36000 1.44000},1909.593513,1909.6
{0.36000 1.08000} {0.72000 1.44000},6894.550493,6894.6
{0.72000 1.08000} {1.08000 1.44000},7300.891066,7300.9
{1.08000 1.08000} {1.44000 1.44000},8850.842203,8850.8
{1.44000 1.08000} {1.80000 1.44000},5781.785668,5781.8
{1.80000 1.08000} {2.16000 1.44000},5269.958550,5270
{2.16000 1.08000} {2.52000 1.44000},5911.234996,5911.2
{2.52000 1.08000} {2.88000 1.44000},4785.262863,4785.3
{2.88000 1.08000} {3.24000 1.44000},6830.969615,6831
{3.24000 1.08000} {3.60000 1.44000},5379.313837,5379.3
{3.60000 1.08000} {3.96000 1.44000},6275.119672,6275.1
{3.96000 1.08000} {4.32000 1.44000},4165.049069,4165
{4.32000 1.08000} {4.68000 1.44000},3595.637830,3595.6
{4.68000 1.08000} {5.04000 1.44000},5422.549793,5422.5
{5.04000 1.08000} {5.40000 1.44000},7223.282551,7223.3
{5.40000 1.08000} {5.76000 1.44000},5948.225563,5948.2
{5.76000 1.08000} {6.12000 1.44000},6904.012727,6904
{6.12000 1.08000} {6.48000 1.44000},6904.012727,6904
{6.48000 1.08000} {6.84000 1.44000},3033.757365,3033.8
{6.84000 1.08000} {7.20000 1.44000},3727.910300,3727.9
{7.20000 1.08000} {7.56000 1.44000},5951.923223,5951.9
{7.56000 1.08000} {7.92000 1.44000},6915.685671,6915.7
{7.92000 1.08000} {8.28000 1.44000},5605.886235,5605.9
{8.28000 1.08000} {8.64000 1.44000},8597.554515,8597.6
{8.64000 1.08000} {9.00000 1.44000},2167.026803,2167
{9.00000 1.08000} {9.36000 1.44000},7047.909247,7047.9
{9.36000 1.08000} {9.72000 1.44000},7315.047877,7315
{9.72000 1.08000} {10.08000 1.44000},4147.601973,4147.6
{10.08000 1.08000} {10.44000 1.44000},1164.012783,1164
{0.00000 1.44000} {0.36000 1.80000},945.838815,945.84
{0.36000 1.44000} {0.72000 1.80000},3816.007142,3816
{0.72000 1.44000} {1.08000 1.80000},3787.265236,3787.3
{1.08000 1.44000} {1.44000 1.80000},5346.291944,5346.3
{1.44000 1.44000} {1.80000 1.80000},4993.527983,4993.5
{1.80000 1.44000} {2.16000 1.80000},4541.592040,4541.6
{2.16000 1.44000} {2.52000 1.80000},6199.540635,6199.5
{2.52000 1.44000} {2.88000 1.80000},6349.418197,6349.4
{2.88000 1.44000} {3.24000 1.80000},5843.455807,5843.5
{3.24000 1.44000} {3.60000 1.80000},3543.665969,3543.7
{3.60000 1.44000} {3.96000 1.80000},5089.481316,5089.5
{3.96000 1.44000} {4.32000 1.80000},8081.152023,8081.2
{4.32000 1.44000} {4.68000 1.80000},7183.372916,7183.4
{4.68000 1.44000} {5.04000 1.80000},6669.818440,6669.8
{5.04000 1.44000} {5.40000 1.80000},5584.793742,5584.8
{5.40000 1.44000} {5.76000 1.80000},1180.127576,1180.1
{5.76000 1.44000} {6.12000 1.80000},5618.887203,5618.9
{6.12000 1.44000} {6.48000 1.80000},7018.082442,7018.1
{6.48000 1.44000} {6.84000 1.80000},5052.100821,5052.1
{6.84000 1.44000} {7.20000 1.80000},5352.876261,5352.9
{7.20000 1.44000} {7.56000 1.80000},6905.942637,6905.9
{7.56000 1.44000} {7.92000 1.80000},6693.435990,6693.4
{7.92000 1.44000} {8.28000 1.80000},5080.287220,5080.3
{8.28000 1.44000} {8.64000 1.80000},7454.916142,7454.9
{8.64000 1.44000} {9.00000 1.80000},5756.382201,5756.4
{9.00000 1.44000} {9.36000 1.80000},6962.466869,6962.5
{9.36000 1.44000} {9.72000 1.80000},8945.986934,8946
{9.72000 1.44000} {10.08000 1.80000},9248.918867,9248.9
{10.08000 1.44000} {10.44000 1.80000},3469.124164,3469.1
{0.00000 1.80000} {0.36000 2.16000},2773.807844,2773.8
{0.36000 1.80000} {0.72000 2.16000},7238.456701,7238.5
{0.72000 1.80000} {1.08000 2.16000},6800.849013,6800.8
{1.08000 1.80000} {1.44000 2.16000},5472.051984,5472.1
{1.44000 1.80000} {1.80000 2.16000},6423.746664,6423.7
{1.80000 1.80000} {2.16000 2.16000},7434.807415,7434.8
{2.16000 1.80000} {2.52000 2.16000},2884.902825,2884.9
{2.52000 1.80000} {2.88000 2.16000},2748.800124,2748.8
{2.88000 1.80000} {3.24000 2.16000},5253.528329,5253.5
{3.24000 1.80000} {3.60000 2.16000},6029.487721,6029.5
{3.60000 1.80000} {3.96000 2.16000},5638.724054,5638.7
{3.96000 1.80000} {4.32000 2.16000},4094.539756,4094.5
{4.32000 1.80000} {4.68000 2.16000},4331.081447,4331.1
{4.68000 1.80000} {5.04000 2.16000},4514.777909,4514.8
{5.04000 1.80000} {5.40000 2.16000},3547.774216,3547.8
{5.40000 1.80000} {5.76000 2.16000},1737.703623,1737.7
{5.76000 1.80000} {6.12000 2.16000},9025.018035,9025
{6.12000 1.80000} {6.48000 2.16000},6742.255771,6742.3
{6.48000 1.80000} {6.84000 2.16000},4954.661398,4954.7
{6.84000 1.80000} {7.20000 2.16000},3934.679330,3934.7
{7.20000 1.80000} {7.56000 2.16000},3011.131932,3011.1
{7.56000 1.80000} {7.92000 2.16000},5826.396146,5826.4
{7.92000 1.80000} {8.28000 2.16000},6493.687412,6493.7
{8.28000 1.80000} {8.64000 2.16000},3188.557750,3188.6
{8.64000 1.80000} {9.00000 2.16000},3312.622423,3312.6
{9.00000 1.80000} {9.36000 2.16000},6400.159834,6400.2
{9.36000 1.80000} {9.72000 2.16000},5197.998649,5198
{9.72000 1.80000} {10.08000 2.16000},5769.100863,5769.1
{10.08000 1.80000} {10.44000 2.16000},1567.520144,1567.5
{0.00000 2.16000} {0.36000 2.52000},2330.902955,2330.9
{0.36000 2.16000} {0.72000 2.52000},4678.158036,4678.2
{0.72000 2.16000} {1.08000 2.52000},1355.856697,1355.9
{1.08000 2.16000} {1.44000 2.52000},2764.114482,2764.1
{1.44000 2.16000} {1.80000 2.52000},1760.212476,1760.2
{1.80000 2.16000} {2.16000 2.52000},4873.776295,4873.8
{2.16000 2.16000} {2.52000 2.52000},3402.746040,3402.7
