#META_DATA
#type,name,property,value
#table,,tag,gui_write_user_map
#table,,app_name,fc
#table,,version,"V1.1"
#table,,report_date,"2024-Mar-07 07:14:56"
#table,,title,"powerDensityMap"
#table,,bins,10
#table,,max_threshold,
#table,,min_threshold,0.000000
#table,,color_scale,TemperatureScale
#column,Coordinates,type,poly_rect
#column,Value,type,double
#column,Comment,type,string
#END_META_DATA

Coordinates,Value,Comment
{0.00000 0.00000} {1.08000 1.08000},5467.311454,5467.3
{1.08000 0.00000} {2.16000 1.08000},5633.521211,5633.5
{2.16000 0.00000} {3.24000 1.08000},4622.174529,4622.2
{3.24000 0.00000} {4.32000 1.08000},3974.024278,3974
{4.32000 0.00000} {5.40000 1.08000},3499.623840,3499.6
{5.40000 0.00000} {6.48000 1.08000},3667.226415,3667.2
{6.48000 0.00000} {7.56000 1.08000},4881.180279,4881.2
{7.56000 0.00000} {8.64000 1.08000},5549.573454,5549.6
{8.64000 0.00000} {9.72000 1.08000},6264.827512,6264.8
{9.72000 0.00000} {10.50000 1.08000},3472.417629,3472.4
{0.00000 1.08000} {1.08000 2.16000},4607.473314,4607.5
{1.08000 1.08000} {2.16000 2.16000},6012.733828,6012.7
{2.16000 1.08000} {3.24000 2.16000},5200.790377,5200.8
{3.24000 1.08000} {4.32000 2.16000},5366.281491,5366.3
{4.32000 1.08000} {5.40000 2.16000},5341.454316,5341.5
{5.40000 1.08000} {6.48000 2.16000},5675.369518,5675.4
{6.48000 1.08000} {7.56000 2.16000},4658.331474,4658.3
{7.56000 1.08000} {8.64000 2.16000},6206.267453,6206.3
{8.64000 1.08000} {9.72000 2.16000},5900.622315,5900.6
{9.72000 1.08000} {10.50000 2.16000},2818.475422,2818.5
{0.00000 2.16000} {1.08000 3.24000},3945.667425,3945.7
{1.08000 2.16000} {2.16000 3.24000},5229.274918,5229.3
{2.16000 2.16000} {3.24000 3.24000},4508.861762,4508.9
{3.24000 2.16000} {4.32000 3.24000},5195.811353,5195.8
{4.32000 2.16000} {5.40000 3.24000},4710.936618,4710.9
{5.40000 2.16000} {6.48000 3.24000},4617.323835,4617.3
{6.48000 2.16000} {7.56000 3.24000},4516.138188,4516.1
{7.56000 2.16000} {8.64000 3.24000},6338.976643,6339
{8.64000 2.16000} {9.72000 3.24000},7209.245927,7209.2
{9.72000 2.16000} {10.50000 3.24000},4064.267558,4064.3
{0.00000 3.24000} {1.08000 4.32000},5389.282683,5389.3
{1.08000 3.24000} {2.16000 4.32000},6262.020460,6262
{2.16000 3.24000} {3.24000 4.32000},5438.006201,5438
{3.24000 3.24000} {4.32000 4.32000},4458.308644,4458.3
{4.32000 3.24000} {5.40000 4.32000},5573.570724,5573.6
{5.40000 3.24000} {6.48000 4.32000},4572.394209,4572.4
{6.48000 3.24000} {7.56000 4.32000},5604.979552,5605
{7.56000 3.24000} {8.64000 4.32000},4835.061765,4835.1
{8.64000 3.24000} {9.72000 4.32000},6061.039640,6061
{9.72000 3.24000} {10.50000 4.32000},2691.967513,2692
{0.00000 4.32000} {1.08000 5.40000},4520.942005,4520.9
{1.08000 4.32000} {2.16000 5.40000},5072.454722,5072.5
{2.16000 4.32000} {3.24000 5.40000},5261.638538,5261.6
{3.24000 4.32000} {4.32000 5.40000},5781.107757,5781.1
{4.32000 4.32000} {5.40000 5.40000},6064.920234,6064.9
{5.40000 4.32000} {6.48000 5.40000},5992.564032,5992.6
{6.48000 4.32000} {7.56000 5.40000},5420.061186,5420.1
{7.56000 4.32000} {8.64000 5.40000},4676.765095,4676.8
{8.64000 4.32000} {9.72000 5.40000},5525.606982,5525.6
{9.72000 4.32000} {10.50000 5.40000},3637.526650,3637.5
{0.00000 5.40000} {1.08000 6.48000},4247.418729,4247.4
{1.08000 5.40000} {2.16000 6.48000},5712.501013,5712.5
{2.16000 5.40000} {3.24000 6.48000},5646.975772,5647
{3.24000 5.40000} {4.32000 6.48000},4362.356297,4362.4
{4.32000 5.40000} {5.40000 6.48000},5421.718594,5421.7
{5.40000 5.40000} {6.48000 6.48000},5600.033348,5600
{6.48000 5.40000} {7.56000 6.48000},5060.984393,5061
{7.56000 5.40000} {8.64000 6.48000},3701.665663,3701.7
{8.64000 5.40000} {9.72000 6.48000},5312.192872,5312.2
{9.72000 5.40000} {10.50000 6.48000},2632.531521,2632.5
{0.00000 6.48000} {1.08000 7.56000},5022.573370,5022.6
{1.08000 6.48000} {2.16000 7.56000},5995.357850,5995.4
{2.16000 6.48000} {3.24000 7.56000},4432.699773,4432.7
{3.24000 6.48000} {4.32000 7.56000},5601.209981,5601.2
{4.32000 6.48000} {5.40000 7.56000},5654.413917,5654.4
{5.40000 6.48000} {6.48000 7.56000},4169.361463,4169.4
{6.48000 6.48000} {7.56000 7.56000},4546.184126,4546.2
{7.56000 6.48000} {8.64000 7.56000},5174.936798,5174.9
{8.64000 6.48000} {9.72000 7.56000},4902.440899,4902.4
{9.72000 6.48000} {10.50000 7.56000},1389.032764,1389
{0.00000 7.56000} {1.08000 8.64000},3832.477626,3832.5
{1.08000 7.56000} {2.16000 8.64000},4558.406547,4558.4
{2.16000 7.56000} {3.24000 8.64000},6354.686994,6354.7
{3.24000 7.56000} {4.32000 8.64000},3986.309714,3986.3
{4.32000 7.56000} {5.40000 8.64000},5833.056388,5833.1
{5.40000 7.56000} {6.48000 8.64000},5763.812941,5763.8
{6.48000 7.56000} {7.56000 8.64000},4182.497294,4182.5
{7.56000 7.56000} {8.64000 8.64000},5122.675044,5122.7
{8.64000 7.56000} {9.72000 8.64000},4522.878757,4522.9
{9.72000 7.56000} {10.50000 8.64000},1731.293759,1731.3
{0.00000 8.64000} {1.08000 9.72000},5446.683714,5446.7
{1.08000 8.64000} {2.16000 9.72000},6403.078099,6403.1
{2.16000 8.64000} {3.24000 9.72000},4783.156762,4783.2
{3.24000 8.64000} {4.32000 9.72000},4337.552488,4337.6
{4.32000 8.64000} {5.40000 9.72000},6348.050792,6348.1
{5.40000 8.64000} {6.48000 9.72000},5656.595637,5656.6
{6.48000 8.64000} {7.56000 9.72000},4444.242765,4444.2
{7.56000 8.64000} {8.64000 9.72000},5023.001129,5023
{8.64000 8.64000} {9.72000 9.72000},5581.277954,5581.3
{9.72000 8.64000} {10.50000 9.72000},3610.903199,3610.9
{0.00000 9.72000} {1.08000 10.44000},405.551884,405.55
{1.08000 9.72000} {2.16000 10.44000},2245.954330,2246
{2.16000 9.72000} {3.24000 10.44000},3807.276595,3807.3
{3.24000 9.72000} {4.32000 10.44000},3004.288669,3004.3
{4.32000 9.72000} {5.40000 10.44000},3197.302308,3197.3
{5.40000 9.72000} {6.48000 10.44000},1922.135834,1922.1
{6.48000 9.72000} {7.56000 10.44000},2222.226366,2222.2
{7.56000 9.72000} {8.64000 10.44000},3334.058277,3334.1
{8.64000 9.72000} {9.72000 10.44000},3184.965788,3185
{9.72000 9.72000} {10.50000 10.44000},1167.116055,1167.1
