# Version 3.0
# DIE -17.5000 -17.5000 17.5000 17.5000
# TILE 7 7
# LAYER 23 FEOL MEOL M0 VIA0 M1 VIA1 M2 VIA2 M3 VIA3 M4 VIA4 M5 VIA5 M6 VIA6 M7 VIA7 M8 VIA8 M9 VIA9 M10
# SCALE_FACTOR 1.0000
# TileID X1(um) Y1(um) X2(um) Y2(um)  FEOL MEOL M0 VIA0 M1 VIA1 M2 VIA2 M3 VIA3 M4 VIA4 M5 VIA5 M6 VIA6 M7 VIA7 M8 VIA8 M9 VIA9 M10
1 -17.5000 -17.5000 -12.5000 -12.5000 34.385 34.414 34.376 34.326 34.276 34.228 34.179 34.132 34.084 34.037 33.991 33.945 33.891 33.801 33.712 33.623 33.535 33.449 33.352 33.203 33.054 32.907 32.744
2 -17.5000 -12.5000 -12.5000 -7.5000 34.334 34.330 34.298 34.254 34.211 34.168 34.124 34.081 34.038 33.995 33.951 33.909 33.859 33.773 33.687 33.602 33.517 33.433 33.337 33.190 33.043 32.897 32.733
3 -17.5000 -7.5000 -12.5000 -2.5000 34.307 34.289 34.258 34.216 34.175 34.133 34.091 34.050 34.008 33.966 33.925 33.883 33.835 33.751 33.668 33.584 33.501 33.418 33.324 33.178 33.032 32.886 32.723
4 -17.5000 -2.5000 -12.5000 2.5000 34.310 34.296 34.263 34.220 34.177 34.135 34.092 34.049 34.007 33.965 33.922 33.880 33.831 33.748 33.664 33.580 33.497 33.413 33.320 33.174 33.029 32.883 32.720
5 -17.5000 2.5000 -12.5000 7.5000 34.309 34.293 34.262 34.220 34.178 34.137 34.095 34.053 34.011 33.969 33.927 33.885 33.836 33.752 33.668 33.584 33.501 33.417 33.323 33.177 33.031 32.886 32.723
6 -17.5000 7.5000 -12.5000 12.5000 34.323 34.316 34.283 34.240 34.197 34.154 34.111 34.068 34.025 33.982 33.939 33.896 33.847 33.762 33.677 33.593 33.508 33.424 33.329 33.183 33.036 32.890 32.727
7 -17.5000 12.5000 -12.5000 17.5000 34.331 34.327 34.294 34.250 34.206 34.163 34.119 34.076 34.032 33.989 33.946 33.903 33.853 33.767 33.682 33.597 33.512 33.428 33.333 33.186 33.039 32.893 32.730
8 -12.5000 -17.5000 -7.5000 -12.5000 34.323 34.311 34.280 34.238 34.196 34.154 34.112 34.069 34.027 33.985 33.943 33.900 33.851 33.766 33.682 33.597 33.513 33.429 33.334 33.188 33.041 32.895 32.732
9 -12.5000 -12.5000 -7.5000 -7.5000 34.295 34.267 34.238 34.198 34.159 34.119 34.079 34.039 33.998 33.958 33.917 33.876 33.829 33.746 33.664 33.581 33.499 33.416 33.323 33.177 33.032 32.886 32.723
10 -12.5000 -7.5000 -7.5000 -2.5000 34.285 34.255 34.225 34.185 34.145 34.105 34.065 34.024 33.984 33.944 33.903 33.862 33.815 33.733 33.651 33.569 33.487 33.405 33.312 33.168 33.023 32.877 32.715
